index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
16;16,081;0,268016667;1683276092;5;0,41;2,05;5;0,4;2
17;17,095;0,284916667;1683276093;5;0,51;2,55;5;0,41;2,05
18;18,081;0,30135;1683276094;5;0,46;2,3;5;0,42;2,1
19;19,081;0,318016667;1683276095;5;0,46;2,3;5;0,43;2,15
20;20,081;0,334683333;1683276096;5;0,47;2,35;5;0,44;2,2
21;21,081;0,35135;1683276097;5;0,46;2,3;5;0,46;2,3
22;22,086;0,3681;1683276098;5;0,46;2,3;5;0,43;2,15
23;23,095;0,384916667;1683276099;5;0,46;2,3;5;0,48;2,4
24;24,081;0,40135;1683276100;5;0,46;2,3;5;0,46;2,3
25;25,081;0,418016667;1683276101;5;0,46;2,3;5;0,44;2,2
26;26,081;0,434683333;1683276102;5;0,46;2,3;5;0,45;2,25
27;27,081;0,45135;1683276103;5;0,46;2,3;5;0,45;2,25
28;28,081;0,468016667;1683276104;5;0,46;2,3;5;0,49;2,45
29;29,081;0,484683333;1683276105;5;0,46;2,3;5;0,45;2,25
30;30,082;0,501366667;1683276106;5;0,46;2,3;5;0,45;2,25
31;31,081;0,518016667;1683276107;5;0,49;2,45;5;0,47;2,35
32;32,081;0,534683333;1683276108;5;0,47;2,35;5;0,43;2,15
33;33,081;0,55135;1683276109;5;0,51;2,55;5;0,5;2,5
34;34,081;0,568016667;1683276110;5;0,5;2,5;5;0,48;2,4
35;35,084;0,584733333;1683276111;5;0,46;2,3;5;0,45;2,25
36;36,083;0,601383333;1683276112;5;0,46;2,3;5;0,53;2,65
37;37,081;0,618016667;1683276113;5;0,46;2,3;5;0,45;2,25
38;38,081;0,634683333;1683276114;5;0,46;2,3;5;0,42;2,1
39;39,081;0,65135;1683276115;5;0,47;2,35;5;0,46;2,3
40;40,081;0,668016667;1683276116;5;0,46;2,3;5;0,44;2,2
41;41,081;0,684683333;1683276117;5;0,46;2,3;5;0,44;2,2
42;42,081;0,70135;1683276118;5;0,45;2,25;5;0,49;2,45
43;43,081;0,718016667;1683276119;5;0,46;2,3;5;0,4;2
44;44,081;0,734683333;1683276120;5;0,46;2,3;5;0,45;2,25
45;45,084;0,7514;1683276121;5;0,47;2,35;5;0,45;2,25
